Date,ProductId,SalesQuantity,Price,Promotion,DayOfWeek,Season
2023-01-01,2,23,231.26,No,Sunday,Winter
2023-01-01,7,31,17.53,No,Sunday,Winter
2023-01-01,14,25,99.5,No,Sunday,Winter
2023-01-01,15,43,377.76,No,Sunday,Winter
2023-01-01,17,18,357.85,No,Sunday,Winter
2023-01-01,23,41,319.08,No,Sunday,Winter
2023-01-01,24,43,297.91,No,Sunday,Winter
2023-01-01,26,36,246.4,No,Sunday,Winter
2023-01-01,28,29,241.51,No,Sunday,Winter
2023-01-01,32,54,87.33,Yes,Sunday,Winter
2023-01-01,35,72,295.31,Yes,Sunday,Winter
2023-01-01,37,34,109.21,No,Sunday,Winter
2023-01-01,39,23,256.18,No,Sunday,Winter
2023-01-01,43,38,51.67,No,Sunday,Winter
2023-01-01,49,23,176.08,No,Sunday,Winter
2023-01-01,49,61,143.86,Yes,Sunday,Winter
2023-01-01,49,29,176.08,No,Sunday,Winter
2023-01-02,2,43,200.88,Yes,Monday,Winter
2023-01-02,2,17,231.26,No,Monday,Winter
2023-01-02,12,18,85.5,No,Monday,Winter
2023-01-02,14,18,99.5,No,Monday,Winter
2023-01-02,17,16,357.85,No,Monday,Winter
2023-01-02,20,48,303.91,Yes,Monday,Winter
2023-01-02,22,31,399.69,No,Monday,Winter
2023-01-02,37,53,78.34,Yes,Monday,Winter
2023-01-02,42,19,363.99,No,Monday,Winter
2023-01-03,1,24,268.05,No,Tuesday,Winter
2023-01-03,1,25,268.05,No,Tuesday,Winter
2023-01-03,7,50,14.58,Yes,Tuesday,Winter
2023-01-03,16,28,176.15,No,Tuesday,Winter
2023-01-03,17,26,357.85,No,Tuesday,Winter
2023-01-03,24,29,297.91,No,Tuesday,Winter
2023-01-03,25,22,183.24,No,Tuesday,Winter
2023-01-03,29,25,352.17,No,Tuesday,Winter
2023-01-03,34,65,135.56,Yes,Tuesday,Winter
2023-01-03,46,25,360.9,No,Tuesday,Winter
2023-01-04,5,55,376.56,Yes,Wednesday,Winter
2023-01-04,12,24,85.5,No,Wednesday,Winter
2023-01-04,14,20,99.5,No,Wednesday,Winter
2023-01-04,21,58,95.33,Yes,Wednesday,Winter
2023-01-04,34,26,157.47,No,Wednesday,Winter
2023-01-04,36,18,399.14,No,Wednesday,Winter
2023-01-04,47,35,178.77,No,Wednesday,Winter
2023-01-04,49,48,137.42,Yes,Wednesday,Winter
2023-01-05,6,23,231.03,No,Thursday,Winter
2023-01-05,8,25,218.96,No,Thursday,Winter
2023-01-05,8,26,218.96,No,Thursday,Winter
2023-01-05,14,55,74.62,Yes,Thursday,Winter
2023-01-05,17,34,260.28,Yes,Thursday,Winter
2023-01-05,23,30,319.08,No,Thursday,Winter
2023-01-05,23,17,319.08,No,Thursday,Winter
2023-01-05,29,24,352.17,No,Thursday,Winter
2023-01-05,36,24,399.14,No,Thursday,Winter
2023-01-05,44,48,95.4,Yes,Thursday,Winter
